ENGLISH,FRENCH,FREQUENCY,
['abide', 'respecter', 25],
['about', 'sur', 299],
['above', 'au dessus', 89],
['abroad'," ""�\xa0 l'étranger""", 35],
['absence', 'absence', 46],
['abuse', 'abuser de', 30],
['according', 'selon', 23],
['account', 'Compte', 30],
['accuse', 'accuser', 29],
['acquainted', 'connaissance', 28],
['action', 'action', 86],
['advantage', 'avantage', 62],
['advice', 'Conseil', 21],
['affairs', 'affaires', 35],
['affection', 'affection', 45],
['affections', 'affections', 27],
['afraid', 'peur', 32],
['after', 'après', 292],
['afterwards', 'ensuite', 30],
['again', 'encore', 392],
['alive', 'vivant', 48],
['almost', 'presque', 132],
['alone', 'seul', 114],
['along', 'le long de', 68],
['already', 'déj�\xa0', 90],
['although', 'bien que', 33],
['always', 'toujours', 55],
['ambition', 'ambition', 31],
['ancient', 'ancien', 64],
['angel', 'ange', 45],
['anger', 'colère', 38],
['another', 'un autre', 289],
['answer', 'répondre', 299],
['anything'," ""n'importe quoi""", 75],
['apparel', 'vêtements', 34],
['appear', 'apparaître', 75],
['appears', 'apparaît', 37],
['approach', 'approche', 29],
['argument', 'argument', 40],
['armour', 'armure', 35],
['aside', 'de côté', 40],
['asleep', 'endormi', 29],
['assure', 'assurer', 42],
['attend', 'assister', 86],
['attended', 'assisté', 23],
['authority', 'autorité', 29],
['avoid', 'éviter', 27],
['awake', 'éveillé', 42],
['awhile', 'quelque temps', 49],
['banish', 'bannir', 30],
['barren', 'Dénudé', 33],
['bastard', 'Connard', 55],
['battle', 'bataille', 89],
['beard', 'barbe', 68],
['bearing', 'palier', 52],
['bears', 'ours', 86],
['beast', 'la bête', 53],
['beaten', 'battu', 39],
['beauty', 'beauté', 169],
['because', 'car', 79],
['become', 'devenir', 113],
['before', 'avant', 519],
['beggar', 'mendiant', 44],
['begin', 'commencer', 74],
['behalf', 'nom', 23],
['behind', 'derrière', 72],
['behold', 'voir', 81],
['being', 'étant', 528],
['believe', 'croyez', 150],
['belike', 'être comme', 19],
['below', 'au dessous de', 30],
['benefit', 'avantage', 27],
['besides', 'outre', 40],
['betray', 'trahir', 29],
['better', 'mieux', 504],
['between', 'entre', 179],
['beyond', 'au-del�\xa0', 39],
['birth', 'naissance', 49],
['bishop', 'évêque', 3],
['bitter', 'amer', 68],
['black', 'noir', 127],
['blame', 'faire des reproches', 58],
['bless', 'bénir', 81],
['blessing', 'bénédiction', 35],
['blest', 'heureux', 33],
['blind', 'aveugle', 58],
['blood', 'du sang', 384],
['blows', 'coups', 49],
['blunt', 'cru', 25],
['blush', 'rougir', 33],
['bodies', 'corps', 34],
['bones', 'des os', 44],
['borne', 'supporté', 61],
['bottom', 'bas', 32],
['bought', 'acheté', 44],
['bound', 'lié', 131],
['bounty', 'prime', 34],
['brain', 'cerveau', 52],
['brains', 'cerveaux', 32],
['brave', 'courageux', 139],
['breast', 'Sein', 37],
['breath', 'souffle', 132],
['breed', 'race', 40],
['brief', 'bref', 68],
['bright', 'brillant', 50],
['bring', 'apporter', 349],
['broke', 'cassé', 71],
['brook', 'ruisseau', 30],
['brother', 'frère', 390],
['brought', 'apporté', 176],
['brows', 'sourcils', 31],
['burden', 'fardeau', 36],
['buried', 'enterré', 40],
['burning', 'brûlant', 39],
['business', 'Entreprise', 158],
['cannot', 'ne peux pas', 687],
['captain', 'capitaine', 46],
['cardinal', 'cardinal', 3],
['cares', 'se soucie', 30],
['carry', 'porter', 70],
['castle', 'Château', 23],
['catch', 'capture', 54],
['cause', 'cause', 232],
['cease', 'cesser', 31],
['certain', 'certain', 139],
